301KG0KX9EZTIX38Y4LK073HE9J2HQ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  35LDD5557DIDEB6349C3GSTTUO6KMP	  https://twitter.com/FemBooze/status/1019682008849625088	  y
301KG0KX9EZTIX38Y4LK073HE9J2HQ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3Y4W8Q93L2YOQSU2QKR7ZBHG18KDVL	  https://twitter.com/FemBooze/status/1019682008849625088	  y
302OLP89D1LR6SNWPR0YVYPZD56CAY	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3LRLIPTPETNCCAXE76MY71YT07IKA6	  https://twitter.com/blackgirltrave2/status/1018832258185203712	  y
302OLP89D1LR6SNWPR0YVYPZD56CAY	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ADAGUJNWMEPT6	  3OUYGIZWRACHMOWCSWUDEC8FLVDP0M	  https://twitter.com/blackgirltrave2/status/1018832258185203712	  y
3087LXLJ6OU28R9OORT6EYYP1WMF0L	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  32XVDSJFP2BIXV2DF36ZGW7ZDOL2MM	  https://twitter.com/OephiliaFace/status/1020287829161758720	  y
3087LXLJ6OU28R9OORT6EYYP1WMF0L	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  36H9ULYP658CXH84018EKN97IYWFJG	  https://twitter.com/OephiliaFace/status/1020287829161758720	  y
309D674SH1ZWP2SOV50UQ995VNRCBT	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  38F5OAUN5QQ3RIY8UI7HKIGB7I77HX	  https://twitter.com/AnimeNow4/status/1018892665692319744	  n
309D674SH1ZWP2SOV50UQ995VNRCBT	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3DH6GAKTY138XNU3ND3OX24D77XZYG	  https://twitter.com/AnimeNow4/status/1018892665692319744	  y
30QQTY5GMMY59K6Y4F9EFD9FJX77UC	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3EWIJTFFVRLDPX7MJIE2K09B7O8E0N	  https://twitter.com/vegasbar/status/1020400752588537856	  y
30QQTY5GMMY59K6Y4F9EFD9FJX77UC	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3TE22NPXPEQCWJSUDDPRNHNXBBW44P	  https://twitter.com/vegasbar/status/1020400752588537856	  y
30UZJB2POJQ6NMFW12YGUK5JFES53N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  382M9COHEKTT5JJ2HPSM97XINDEUE8	  https://twitter.com/Marsiglia_Tm/status/1018388232663429120	  y
