username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yessyyessie;2018-01-15 00:51;0;0;"I wanna go to New Orleans #MardiGras #2019 ?";;;#MardiGras #2019;"952704847752474624";https://twitter.com/yessyyessie/status/952704847752474624
BRIGNACSON;2018-01-15 00:43;0;0;"Who dat say dey not runnin mardigras";;;;"952702870683492352";https://twitter.com/BRIGNACSON/status/952702870683492352
ReplicaFoodPro;2018-01-15 00:32;0;0;"Take a look at this beautiful table center piece created using a #replicakingcake from #replicafoodbyrj . Truly a #MardiGras tradition. #uniquegift #cajun #reuseable @ReplicaFoodByRJ pic.twitter.com/CCLfI6rxkq";;@ReplicaFoodByRJ;#replicakingcake #replicafoodbyrj #MardiGras #uniquegift #cajun #reuseable;"952699964899151874";https://twitter.com/ReplicaFoodPro/status/952699964899151874
eBayKali;2018-01-15 00:30;0;0;"Martini Glasses String Lights Party Bar Decoration Set of 10 Indoor Outdoor 8.5 feet cord New in Package #Barware #Party #Decorate #MardiGras #Shopping #Etsy https:// zurl.co/2Y92A via @Etsy";;@Etsy;#Barware #Party #Decorate #MardiGras #Shopping #Etsy;"952699355517079553";https://twitter.com/eBayKali/status/952699355517079553
worldsbids;2018-01-15 00:29;2;4;"Congrats LACF Gold SC5 @LACFGOLD @LACheerForce for winning an AT LARGE BID at #MardiGras ! See you in 103 days at #Worlds2018 ! @MardiGrasSE";;@LACFGOLD @LACheerForce @MardiGrasSE;#MardiGras #Worlds2018;"952699230967169024";https://twitter.com/worldsbids/status/952699230967169024
BillC1965;2018-01-15 00:29;0;0;"http:// s.nola.com//0spFQkS #ssdd #nolacombatzone #criminalparadise better #staywoke @MayorLandrieu @NOLACityCouncil @NOPDNews #MardiGras @FoxNews @NOLAnews";;@MayorLandrieu @NOLACityCouncil @NOPDNews @FoxNews @NOLAnews;#ssdd #nolacombatzone #criminalparadise #staywoke #MardiGras;"952699169336119296";https://twitter.com/BillC1965/status/952699169336119296
worldsbids;2018-01-15 00:28;1;1;"Congrats Tiger Elite Fierce 5 SC5 @te_fierce5 @TigerElite for winning an AT LARGE BID at #MardiGras ! See you in 103 days at #Worlds2018 ! @MardiGrasSE";;@te_fierce5 @TigerElite @MardiGrasSE;#MardiGras #Worlds2018;"952699007142432769";https://twitter.com/worldsbids/status/952699007142432769
worldsbids;2018-01-15 00:27;2;5;"Congrats World Class Athletics Black Diamonds SC5 @WorldClass850 for winning an AT LARGE BID at #MardiGras ! See you in 103 days at #Worlds2018 ! @MardiGrasSE";;@WorldClass850 @MardiGrasSE;#MardiGras #Worlds2018;"952698776396926977";https://twitter.com/worldsbids/status/952698776396926977
Lezzardman;2018-01-15 00:15;1;0;"#MardiGras #Party #Music on #iTunes and #AppleMusicApp L-Love https:// itunes.apple.com/us/album/cause -she-heard-me-on-the-radio-feat-damien/818477509?i=818483064 … #iTunesGiftCard #iTunesCard #AmericanExpressGiftCard #VisaGiftCard #MasterCard #MerchantCard .";;;#MardiGras #Party #Music #iTunes #AppleMusicApp #iTunesGiftCard #iTunesCard #AmericanExpressGiftCard #VisaGiftCard #MasterCard #MerchantCard;"952695601497391104";https://twitter.com/Lezzardman/status/952695601497391104
Lezzardman;2018-01-15 00:14;1;0;"#MardiGras #Party #Music on #iTunes and #AppleMusicApp HUEY https:// itunes.apple.com/us/album/club- is-calling-feat-huey-stine/855372105?i=855372189 … #Clubbing #Dancing #Turnup #theTurnUp #iTunesGiftCard #iTunesCard #AmericanExpressGiftCard #VisaGiftCard #MasterCard #MerchantCard .";;;#MardiGras #Party #Music #iTunes #AppleMusicApp #Clubbing #Dancing #Turnup #theTurnUp #iTunesGiftCard #iTunesCard #AmericanExpressGiftCard #VisaGiftCard #MasterCard #MerchantCard;"952695330323054592";https://twitter.com/Lezzardman/status/952695330323054592
Lezzardman;2018-01-15 00:12;0;0;"Calling all of my #SergeantMajor #ChiefMasterSergeant level warriors. https:// itunes.apple.com/us/album/cause -she-heard-me-on-the-radio-feat-damien/818477509?i=818483064 … #MardiGras I need everyone (I MEAN EVERYONE) who has an #iTunesGiftCard ( #iTunes ) #AppleMusicGiftCard ( #AppleMusic ) to #SupporttheMusic and #BUY L-Love #Music";;;#SergeantMajor #ChiefMasterSergeant #MardiGras #iTunesGiftCard #iTunes #AppleMusicGiftCard #AppleMusic #SupporttheMusic #BUY #Music;"952695016811450369";https://twitter.com/Lezzardman/status/952695016811450369
JL_Bakery;2018-01-15 00:12;0;1;"Hitting every trend this week. #cake #mardigras #nakedcake #unicorncake #geodecake #cherryblossom #mickeymouse ... https:// fb.me/1OKBRgCcE";;;#cake #mardigras #nakedcake #unicorncake #geodecake #cherryblossom #mickeymouse;"952694980665110529";https://twitter.com/JL_Bakery/status/952694980665110529
JL_Bakery;2018-01-15 00:12;0;0;"Hitting every trend this week. #cake #mardigras #nakedcake #unicorncake #geodecake … https://www. instagram.com/p/Bd8xWfMFR1a/";;;#cake #mardigras #nakedcake #unicorncake #geodecake;"952694929230368769";https://twitter.com/JL_Bakery/status/952694929230368769
michellesalzman;2018-01-15 00:04;0;0;"After a full day of MardiGras celebrations, it’s only suiting to finish the day off with New… https://www. instagram.com/p/Bd8wb6CgluX/";;;;"952692916543262721";https://twitter.com/michellesalzman/status/952692916543262721
worldsbids;2018-01-14 23:53;0;1;"Congrats Southern Athletics Pride MC5 @SAathletics for winning an AT LARGE BID at #MardiGras ! See you in 103 days at #Worlds2018 ! @MardiGrasSE";;@SAathletics @MardiGrasSE;#MardiGras #Worlds2018;"952690239876796416";https://twitter.com/worldsbids/status/952690239876796416
