username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WakeAmericaNow;2018-03-30 23:11;0;0;"I'm listening to Today In History - March 17th, 461: Saint Patrick dies on Today In History with @TuneIn . #NowPlaying https:// buff.ly/2tVRWsh #StPatricksDay #SaintPatrick pic.twitter.com/VS2FEHhtQL";;@TuneIn;#NowPlaying #StPatricksDay #SaintPatrick;"979858572006821888";https://twitter.com/WakeAmericaNow/status/979858572006821888
TheKingZuno;2018-03-30 20:59;0;0;"Saint Patrick's Cathedral #stpatrickscathedral #dublin #church #easter #saintpatrick #photo … https://www. instagram.com/p/Bg9i5YvHzX2/";;;#stpatrickscathedral #dublin #church #easter #saintpatrick #photo;"979825480403533824";https://twitter.com/TheKingZuno/status/979825480403533824
RebrnOficial;2018-03-30 04:33;1;2;"Never mind i just ran in to a duo while playing solo :,/, done with fortnite for today #FeelsBadMan #Fortnite #FortniteBattleRoyale #music #videogames #videojuegos #VIDEOS #juegos #JuevesSanto #saintpatrick";;;#FeelsBadMan #Fortnite #FortniteBattleRoyale #music #videogames #videojuegos #VIDEOS #juegos #JuevesSanto #saintpatrick;"979577375167078400";https://twitter.com/RebrnOficial/status/979577375167078400
LecalePeninsula;2018-03-29 17:10;14;24;"Sliabh na Grideall over Loch Monaidh, the source of Inbher Slain where #SaintPatrick landed. Named after a cromlech of which the cap remains. Largest monument in ancient landscape is a granite statue of Patrick erected in 1938. #geology #StrangfordLough #storyofirelandstartshere pic.twitter.com/eMWDKqGvIs";;;#SaintPatrick #geology #StrangfordLough #storyofirelandstartshere;"979405549195415552";https://twitter.com/LecalePeninsula/status/979405549195415552
PWalkerBirch;2018-03-29 10:51;0;0;"Don’t subscribe to the Times, so don’t often get to do the Listener crossword. Bought a copy on St. Patrick’s day, though! My solutions to Listener No. 4494: Overseas Outing by Chalicea. #Eire #SaintPatrick #Snakes pic.twitter.com/3vLtrYk9Yc";;;#Eire #SaintPatrick #Snakes;"979310168633696256";https://twitter.com/PWalkerBirch/status/979310168633696256
Patsysongs;2018-03-28 21:31;0;2;"Nice. Mail-outs happening soon! Get yours here: http:// bit.ly/2Gr3o1H #irish #culture #music #childrensliterature #saintpatrick #heritage #culture #history #Genealogy #celtic #harp #fiddle #flute #bodhran #whistle #pipes #uilleann pic.twitter.com/dTQBahZBK0";;;#irish #culture #music #childrensliterature #saintpatrick #heritage #culture #history #Genealogy #celtic #harp #fiddle #flute #bodhran #whistle #pipes #uilleann;"979108627243036673";https://twitter.com/Patsysongs/status/979108627243036673
CarmeliteNick;2018-03-28 20:42;0;2;"The #chrism #mass at #saintpatrick with @CardinalDolan @NY_Arch #Carmelite #CatholicTwitter pic.twitter.com/tjrNXo9cBB";;@CardinalDolan @NY_Arch;#chrism #mass #saintpatrick #Carmelite #CatholicTwitter;"979096380747714571";https://twitter.com/CarmeliteNick/status/979096380747714571
SamGodGeorge;2018-03-28 19:56;0;0;"Christ, Shield Me This Day Saint Patrick's prayer #Prayer #SaintPatrick #Jesus #God #Christian #Christ #Worship pic.twitter.com/AZcTyzOGIR";;;#Prayer #SaintPatrick #Jesus #God #Christian #Christ #Worship;"979084781106298880";https://twitter.com/SamGodGeorge/status/979084781106298880
JGalleryParis;2018-03-27 09:03;0;1;"St. Patrick's Cathedral . . #NewYork #cathedral #SaintPatrick #church #monument #NY #NewYorkCity #StPatricksCathedral #NYC #architecture #gothic #symmetry #architecturephotography #neogothic #FineArtphotography #artwork #Catholic #midtown #Manhattan #pho … https:// ift.tt/2GaoLaB pic.twitter.com/NoZ4HZwavw";;;#NewYork #cathedral #SaintPatrick #church #monument #NY #NewYorkCity #StPatricksCathedral #NYC #architecture #gothic #symmetry #architecturephotography #neogothic #FineArtphotography #artwork #Catholic #midtown #Manhattan #pho;"978558049706225665";https://twitter.com/JGalleryParis/status/978558049706225665
NTCatholic;2018-03-26 21:20;0;3;"As the patron saint of the diocese, #SaintPatrick gets honored for his role in the #Catholic faith at his namesake cathedral in Fort Worth. Dancing, singing, and plenty of green are part of the celebration. Check out the video: https:// buff.ly/2G8E2c2 pic.twitter.com/Cn4wfCVfjJ";;;#SaintPatrick #Catholic;"978381166339387393";https://twitter.com/NTCatholic/status/978381166339387393
