username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NOLASpiceDesign;2018-01-23 22:09;0;0;"Mardi Gras Valentine #Pink Bead Dog Necklace New Orleans http:// etsy.me/2E1LH7N via #nolaspicedesigns #nola #valentine #mardigras #love #bead #dog";;;#Pink #nolaspicedesigns #nola #valentine #mardigras #love #bead #dog;"955925462244646912";https://twitter.com/NOLASpiceDesign/status/955925462244646912
DJPOPPA504;2018-01-23 22:03;0;0;"#MardiGras #Bacchus Ready https://www. instagram.com/p/BeTtwDpDx2i/";;;#MardiGras #Bacchus;"955923974709497856";https://twitter.com/DJPOPPA504/status/955923974709497856
ContempraINN;2018-01-23 21:30;0;1;"The #Tucks #parade : Providing #playful potty #humor for #50years #MardiGras #Carnival #Adult >> http://www. nola.com/mardi_gras_nol a/2018/01/tucks_parade_mardi_gras_2018.html … – bei Contempra Inn";;;#Tucks #parade #playful #humor #50years #MardiGras #Carnival #Adult;"955915545613881345";https://twitter.com/ContempraINN/status/955915545613881345
cavannola;2018-01-23 21:05;0;0;"Fresh out of the oven and waiting for you! . . Don't delay, order one today. Just need a 24hr notice. Dm or call Cavan #kingcake #crawfish #mardigras #savory #eat #eatonmagazinest #eatlikeasoutherner #food #onlyinlouisiana #welovelouisiana : @nprichard17 pic.twitter.com/cslERLxsMy";;@nprichard17;#kingcake #crawfish #mardigras #savory #eat #eatonmagazinest #eatlikeasoutherner #food #onlyinlouisiana #welovelouisiana;"955909288005914624";https://twitter.com/cavannola/status/955909288005914624
BoomtownNOLA;2018-01-23 21:00;0;0;"The countdown to #MardiGras has begun! What's your favorite part of the carnival season? pic.twitter.com/CgMlWegDcA";;;#MardiGras;"955908053181845504";https://twitter.com/BoomtownNOLA/status/955908053181845504
ContempraINN;2018-01-23 20:46;1;2;"A #Kids #Guide to #MardiGras #Yes there are #Great #Places for #Kids and #Families to enjoy #MardiGras #Carnival in #Suburbs and in #NewOrleans | http:// NewOrleansKids.com #GUIDE >>> http://www. neworleanskids.com/mardi-gras-for -kids.html … pic.twitter.com/Z1Oxlhdfhy – bei Contempra Inn";;;#Kids #Guide #MardiGras #Yes #Great #Places #Kids #Families #MardiGras #Carnival #Suburbs #NewOrleans #GUIDE;"955904506876911619";https://twitter.com/ContempraINN/status/955904506876911619
ContempraINN;2018-01-23 20:40;0;1;"Weather in #NewOrleans for #MardiGras #Carnival #parades the #weekend of #Jan27 #THISWEEKEND >> http://www. theadvocate.com/new_orleans/en tertainment_life/mardi_gras/article_08fb6ce4-006b-11e8-9156-f3a4b8ab7294.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @theadvocateno pic.twitter.com/xNeAvVpuWq – bei Contempra Inn";;@theadvocateno;#NewOrleans #MardiGras #Carnival #parades #weekend #Jan27 #THISWEEKEND;"955903004842094593";https://twitter.com/ContempraINN/status/955903004842094593
primadonnanola;2018-01-23 20:31;0;0;"Rachel Allan. Sz. 18W. Royal/White. Our price: $349.99, Retail price: $538.00. Find it Uptown today! #nola #fashion #designer #ballgowns #mardigras pic.twitter.com/GWC77J5Ceb";;;#nola #fashion #designer #ballgowns #mardigras;"955900942876073984";https://twitter.com/primadonnanola/status/955900942876073984
tulanealumni;2018-01-23 20:30;0;1;"Join @NewcombMuseum for a special #MardiGras throw decorating workshop, January 25th & February 1st for fun and creative inspiration! Registration & info: http:// tulane.it/2DD2Bfa pic.twitter.com/aDDYr4cgbW";;@NewcombMuseum;#MardiGras;"955900510267207681";https://twitter.com/tulanealumni/status/955900510267207681
JauntAndCo;2018-01-23 20:28;0;0;"#TellMeTuesday : COLOR! That gorgeous purple color in our REPOSE is completely natural! We brew #LavenderWater with special tea that turns it purple P.S. The #MardiGras in this pic was serendipitous #JauntAndCo #BeautyRituals #WinterSkinCare #Followyournola #NOLA pic.twitter.com/1OguFt7Jim";;;#TellMeTuesday #LavenderWater #MardiGras #JauntAndCo #BeautyRituals #WinterSkinCare #Followyournola #NOLA;"955900181479911425";https://twitter.com/JauntAndCo/status/955900181479911425
bourbondecayart;2018-01-23 20:06;1;3;"Work in Progress..FLEUR-DE-SLEAZE: King Cake, Baby! #nola #MardiGras #Carnival #art pic.twitter.com/AQoqwjpLn6";;;#nola #MardiGras #Carnival #art;"955894607484768258";https://twitter.com/bourbondecayart/status/955894607484768258
DEVENEYNOLA;2018-01-23 20:01;0;0;"A day with #MardiGras royalty? #OnlyLouisiana . Our team enjoyed the annual @LTPA_tweets meeting. #TourismMarketing pic.twitter.com/tGY69yCElv";;@LTPA_tweets;#MardiGras #OnlyLouisiana #TourismMarketing;"955893213113569280";https://twitter.com/DEVENEYNOLA/status/955893213113569280
Cambria_NOLA;2018-01-23 18:56;0;0;"We all know that the #MardiGras season has already begun in #NOLA , but the official day is two weeks away! How much #kingcake have you eaten already? : #BywaterBakery pic.twitter.com/4blWMpgy17";;;#MardiGras #NOLA #kingcake #BywaterBakery;"955876788789420032";https://twitter.com/Cambria_NOLA/status/955876788789420032
FeetFirstStores;2018-01-23 18:53;1;1;"These new athleisure slip-ons are perfect for parades! $80 avail in Gray Snake, Black & Denim #shoes #comfortshoes #athleisure #parade #mardigras #mardigras2018 #krewedevieux #carnival #carnival2018 #frenchquarter #nola #itsyournola #nolabiz #bigeasy #MagazineStreet @sofftshoes pic.twitter.com/0sN9DCn52o";;@sofftshoes;#shoes #comfortshoes #athleisure #parade #mardigras #mardigras2018 #krewedevieux #carnival #carnival2018 #frenchquarter #nola #itsyournola #nolabiz #bigeasy #MagazineStreet;"955876221589643265";https://twitter.com/FeetFirstStores/status/955876221589643265
FrankGdj;2018-01-23 18:50;0;0;"Guess who’s going to #NewOrleans for #Mardigras to #Celebrate #Life .......... now… https://www. instagram.com/p/BeTXpQfF8ix/";;;#NewOrleans #Mardigras #Celebrate #Life;"955875361149128705";https://twitter.com/FrankGdj/status/955875361149128705
hospitalityN0LA;2018-01-23 18:49;0;0;"Almost all apartments are booked for #mardigras . Only your reservation is missing!! pic.twitter.com/ywjcEKBP0K";;;#mardigras;"955875041799016448";https://twitter.com/hospitalityN0LA/status/955875041799016448
primadonnanola;2018-01-23 18:31;0;0;"Blush. Sz. 14. Apricot. Our price: $299.99, Retail price: $398.00. Find it Uptown today! #nola #fashion #designer #ballgowns #mardigras pic.twitter.com/DGmQ6dQ2u4";;;#nola #fashion #designer #ballgowns #mardigras;"955870651939684354";https://twitter.com/primadonnanola/status/955870651939684354
fqshow;2018-01-23 17:41;0;4;"It's a Gorgeous Day in #NOLA #MardiGras #carnival #neworleans pic.twitter.com/a7nKq4Ra2L";;;#NOLA #MardiGras #carnival #neworleans;"955858071871545345";https://twitter.com/fqshow/status/955858071871545345
gaylinnenola;2018-01-23 17:41;0;5;"2 more Tuesdays 'til #FatTuesday #MardiGras #Triicentennial #NOLA300 https:// twitter.com/DavidMora/stat us/955757466326880256 …";;;#FatTuesday #MardiGras #Triicentennial #NOLA300;"955858067874373632";https://twitter.com/gaylinnenola/status/955858067874373632
